FaceSex,FaceAgeGroup,FaceAge,subject,face.a,ag.old,ag.young,at.old,at.young,ba.old,ba.young,co.old,co.young,he.old,he.young,un.old,un.young
M,OA,53,C091,OM1g16r,2.0625,2.1875,3.9375,3.25,4.875,4.4375,4.625,4.75,4.4375,3.9375,2.8125,3.375
M,OA,54,C093,OM1g17r,3.0625,2.75,2.8125,2.75,2.9375,3.589285714,3.5625,3.4375,4.5625,4.1875,3.875,3.9375
F,OA,53,C097,OW1g22r,2.0625,1.8125,4.8125,4.25,3.5,3.071428571,5,5.125,5.25,5,2.8125,2.4375
F,OA,54,C098,OW1g23r,3.5,3.9375,3.875,2.6875,3.25,3.125,4.1875,3.6875,4.4375,3.4375,3.375,4.0625
M,OA,53,C099,OM1g18r,4.1875,3,3,2.8125,2.5,2.6875,3.5625,3.375,3.875,3.6875,4.25,4.125
F,OA,53,C100,OW1g24r,2.5,2.8125,4.1875,2.75,3.0625,2.419642857,4.75,4.125,4.75,4.1875,3,2.8125
F,OA,54,C103,OW1g25r,2.25,1.875,3.1875,3.5625,3.375,3.553571429,4.25,4.375,5.0625,4.5,3,2.5
M,OA,54,C106,OM1g19r,2.75,3.375,4.3125,3.875,3.4375,3.75,4.125,4.4375,5.0625,4.5625,3.875,4.1875
M,OA,53,C109,OM1g20r,2,3.0625,3.8125,1.9375,3.1875,2.589285714,4.3125,4.1875,5,3.25,2.8125,4
F,OA,52,C110,OW1g26r,3.9375,4,3.625,2.875,2.8125,1.785714286,5.25,5.4375,4.9375,4.5,2.875,3.8125
M,OA,54,C112,OM1g21r,4,3.25,4.25,3.0625,3,2.723214286,4.875,4.625,4.6875,4.3125,3.25,3.75
M,OA,54,C115,OM1g22r,2.1875,3.0625,4.125,3.0625,3.75,3.464285714,4.6875,4.9375,4.875,3.9375,3.0625,4.3125
F,OA,54,C116,OW1g27r,2.9375,3,3.25,2,3.125,1.9375,4.5,4.125,4.0625,3.5625,3.125,4.0625
M,OA,53,C121,OM1g23r,1.625,2.3125,4.5625,2.75,3.9375,3.160714286,5.1875,5.25,5.375,4.625,2.5,3.3125
F,OA,53,C125,OW1g28r,2.6875,3,3.125,2.625,3.75,3.678571429,4.3125,4.125,4.4375,3.5,3.25,3.9375
F,OA,53,C126,OW1g29r,3.9375,3.75,3.5,3.9375,2,2.651785714,4.5,5,4.3125,4.75,3.625,3.8125
M,OA,54,C128,OM1g31r,2.8125,3.6875,3.5625,2.75,2.75,2.508928571,3.6875,3.6875,4.5,3.9375,4.0625,4.9375
F,OA,54,C132,OW1g31r,2.625,2.6875,3.25,3.3125,2.1875,1.383928571,4,3.875,4.3125,3.875,3.125,3.3125
M,OA,54,C136,OM1g26r,3.1875,2,3.0625,3,3,2.580357143,4.75,4.9375,4.25,4.0625,3.5,3.5
F,OA,53,C138,OW1g33r,2.5,2.75,3.625,2.875,3.125,3.160714286,4.5,4.0625,4.4375,3.8125,2.875,3.75
M,OA,53,C144,OM1g27r,4,3,3.1875,1.875,2.6875,2.696428571,4,4.1875,4.0625,3.0625,3.5,3.6875
F,OA,53,C146,OW1g34r,4.5625,4.625,3.875,2.4375,2.75,1.803571429,3.8125,3.75,3.9375,3.375,3.8125,5
F,OA,52,C150,OW1g35r,2.5625,2.6875,4.4375,3.375,3.25,3.401785714,5.125,4.375,4.8125,5,3.1875,2.9375
F,OA,54,C151,OW1g36r,1.9375,1.6875,2.875,1.875,3.9375,3.348214286,4.4375,3.8125,4.125,2.625,2.625,2.5
M,OA,53,C154,OM1g28r,2.5,2.6875,3.5,3.125,2.5625,2.446428571,3.9375,3.6875,4.5625,4.1875,3.0625,4.125
F,OA,53,C157,OW1g37r,2.6875,3,4,3.8125,3.1875,2.75,4.5,4.75,4.9375,4.4375,2.6875,3.0625
M,OA,53,C158,OM1g29r,2.5,2.3125,4.3125,2.3125,2.5625,2.008928571,4.6875,4.625,4.5,3.75,3.0625,3.3125
F,OA,54,C163,OW1g39r,1.875,2.0625,4.0625,3.25,2.875,2.803571429,4.4375,4.75,4.8125,4.3125,2.625,2.8125
F,OA,53,C169,OW1g41r,1.9375,1.8125,3.6875,3.3125,4.1875,4.607142857,4.25,4.75,4.5625,3.375,2.875,2.875
M,OA,54,C172,OM2g2r,3.5,4.375,3,2.9375,1.535714286,1.75,3.705357143,4.5,4.4375,4.3125,4.625,5.4375
M,OA,54,C175,OM1g32r,3.8125,3.4375,2.625,2.8125,2.625,2.8125,4.3125,4.625,4.125,3.5625,3.9375,3.6875
